602774/01,602774,01,4.9,CYF,6.9,13.0,MX3
602775/01,602775,01,4.9,CYF,6.9,13.0,MX3
602797/01,602797,01,21.1,CYF,7.0,13.0,MX3
690095/01,690095,01,53.8,CYF,3.3,5.5,MX3
0765MX/01,0765MX,01,11.4,CYF,3.3,5.5,MX3
0766MX/01,0766MX,01,16.2,CYF,3.3,5.5,MX3
0767MX/01,0767MX,01,23.7,CYF,3.3,5.5,MX3
0768MX/01,0768MX,01,12.0,CYF,3.3,5.5,MX3
0770MX/01,0770MX,01,8.3,CYF,3.3,5.6,MX3
0771MX/01,0771MX,01,7.5,CYF,3.3,5.6,MX3
0772MX/01,0772MX,01,14.7,CYF,3.3,5.6,MX3
0773MX/01,0773MX,01,15.9,CYF,3.3,5.5,MX3
0774MX/01,0774MX,01,10.5,CYF,3.3,5.5,MX3
0899MX/01,0899MX,01,19.8,CYF,3.3,5.5,MX3
296A/01,296A,01,35.3,CYF,3.3,5.5,MX3
303A/01,303A,01,2.2,CYF,3.6,5.8,MX3
3150MX/01,3150MX,01,18.7,CYF,1.5,3.0,MX3
4011MX/01,4011MX,01,55.5,CYF,3.3,5.5,MX3
417UMX/01,417UMX,01,17.3,CYF,3.3,5.5,MX3
632AMX/01,632AMX,01,5.6,CYF,3.4,5.5,MX3
6495MX/01,6495MX,01,13.2,CYF,3.3,5.5,MX3
7056MX/01,7056MX,01,53.8,CYF,3.3,5.0,MX3
8796MX/01,8796MX,01,4.2,CYF,3.3,5.7,MX3
9947MX/01,9947MX,01,288.5,CYF,2.0,4.5,MX3
N262MX/01,N262MX,01,21.3,CYF,3.3,5.5,MX3
N487MX/01,N487MX,01,65.3,CYF,3.3,5.5,MX3
N972MX/01,N972MX,01,13.0,CYF,2.0,4.5,MX3
603828/01,603828,01,55.6,CZF,3.3,5.5,MX3
8602E/01,8602E,01,1581.2,CZF,3.3,5.5,MX3
8654MX/01,8654MX,01,12.6,CZF,3.3,5.6,MX3
N173MX/01,N173MX,01,31.4,CZF,3.3,5.5,MX3
602190/01,602190,01,4.6,CZM,3.3,5.7,MX3
602764/01,602764,01,3.2,CZM,7.0,13.0,MX3
602766/01,602766,01,3.2,CZM,7.0,13.0,MX3
602768/01,602768,01,1.6,CZM,6.8,13.0,MX3
602779/01,602779,01,0.8,CZM,7.1,13.0,MX3
603480/01,603480,01,1.0,CZM,7.0,13.0,MX3
603481/01,603481,01,0.8,CZM,7.1,13.0,MX3
690021/01,690021,01,13.6,CZM,3.3,5.6,MX3
305A/01,305A,01,8.0,CZM,3.4,5.6,MX3
8655MX/01,8655MX,01,2.2,CZM,3.7,5.6,MX3
8697MX/01,8697MX,01,1.1,CZM,3.7,5.6,MX3
8732MX/01,8732MX,01,2.0,CZM,3.6,5.6,MX3
8812MX/01,8812MX,01,3.4,CZM,3.5,5.5,MX3
314A/01,314A,01,2.1,CZS,3.4,5.8,MX3
6124MX/01,6124MX,01,1.4,CZS,3.5,5.6,MX3
602777/01,602777,01,1.0,ND,0.5,1.0,MX3
602778/01,602778,01,1.0,ND,0.5,1.0,MX3
602794/01,602794,01,1.0,ND,0.5,1.0,MX3
605837/01,605837,01,1.0,ND,0.5,1.0,MX3
309A/01,309A,01,5.0,ND,0.5,1.0,MX3
8375MX/01,8375MX,01,3.0,ND,0.5,1.0,MX3
8583MX/01,8583MX,01,3.0,ND,0.5,1.0,MX3
N263MX/01,N263MX,01,10.0,ND,0.5,1.0,MX3
0065MX/11,0065MX,11,86.5,AXF,1.7,2.8,MX1
0085MX/11,0085MX,11,484.6,AXF,1.7,2.8,MX1
0364MX/11,0364MX,11,38.1,AXF,1.7,2.8,MX1
0366MX/11,0366MX,11,52.9,AXF,1.7,2.8,MX1
044KMX/11,044KMX,11,87.2,AXF,2.0,4.0,MX1
0831MX/11,0831MX,11,78.0,AXF,1.7,2.8,MX1
0884MX/11,0884MX,11,117.6,AXF,1.7,2.8,MX1
0922MX/11,0922MX,11,114.7,AXF,1.7,2.8,MX1
0940MX/11,0940MX,11,128.2,AXF,1.7,2.8,MX1
0963MX/11,0963MX,11,311.4,AXF,1.7,2.8,MX1
0964MX/11,0964MX,11,179.6,AXF,1.7,2.8,MX1
1019MX/11,1019MX,11,447.9,AXF,1.7,2.8,MX1
1065MX/11,1065MX,11,336.9,AXF,1.5,3.0,MX1
1188MX/11,1188MX,11,35.2,AXF,1.7,2.8,MX1
1610MX/11,1610MX,11,241.1,AXF,1.7,2.8,MX1
1926MX/11,1926MX,11,235.5,AXF,1.7,2.8,MX1
2131MX/11,2131MX,11,186.5,AXF,2.0,4.0,MX1
2555MX/11,2555MX,11,104.9,AXF,1.7,2.8,MX1
2631MX/11,2631MX,11,343.1,AXF,1.7,2.8,MX1
2641MX/11,2641MX,11,40.6,AXF,1.7,2.8,MX1
2644MX/11,2644MX,11,27.4,AXF,1.7,2.8,MX1
2648MX/11,2648MX,11,117.2,AXF,1.7,2.8,MX1
2792MX/11,2792MX,11,19.1,AXF,1.7,2.8,MX1
2864MX/11,2864MX,11,143.2,AXF,1.7,2.8,MX1
298A/11,298A,11,270.6,AXF,2.7,3.8,MX1
299A/11,299A,11,34.2,AXF,2.7,4.4,MX1
3119MX/11,3119MX,11,212.7,AXF,1.7,2.8,MX1
3175MX/11,3175MX,11,84.1,AXF,1.7,2.8,MX1
3189MX/11,3189MX,11,9.2,AXF,1.7,2.8,MX1
3525MX/11,3525MX,11,172.2,AXF,1.7,2.8,MX1
4000MX/11,4000MX,11,533.0,AXF,1.7,2.8,MX1
4001MX/11,4001MX,11,79.3,AXF,1.7,2.8,MX1
4002MX/11,4002MX,11,132.1,AXF,1.7,2.8,MX1
4004MX/11,4004MX,11,103.9,AXF,1.7,2.8,MX1
4007MX/11,4007MX,11,109.5,AXF,1.7,2.8,MX1
4008MX/11,4008MX,11,74.0,AXF,1.7,2.8,MX1
8504MX/11,8504MX,11,126.5,AXF,2.7,4.3,MX1
0413MX/11,0413MX,11,113.0,BXF,2.7,3.8,MX1
1417MX/11,1417MX,11,22.9,BXF,1.5,3.0,MX1
1841MX/11,1841MX,11,55.0,BXF,1.7,3.2,MX1
0039MX/11,0039MX,11,18.7,BYF,1.7,2.8,MX1
0077MX/11,0077MX,11,27.3,BYF,1.7,3.2,MX1
0370MX/11,0370MX,11,82.5,BYF,1.7,2.8,MX1
0565MX/11,0565MX,11,80.5,BYF,1.7,3.2,MX1
1061MX/11,1061MX,11,36.9,BYF,1.7,3.2,MX1
1094MX/11,1094MX,11,58.6,BYF,1.7,2.8,MX1
1095MX/11,1095MX,11,41.2,BYF,1.7,2.8,MX1
1155MX/11,1155MX,11,70.2,BYF,1.7,2.8,MX1
1412MX/11,1412MX,11,24.6,BYF,1.7,3.2,MX1
1428MX/11,1428MX,11,65.6,BYF,1.7,2.8,MX1
1829MX/11,1829MX,11,42.7,BYF,1.7,2.9,MX1
2374MX/11,2374MX,11,32.7,BYF,1.7,3.2,MX1
3100MX/11,3100MX,11,70.2,BYF,1.7,3.2,MX1
3115MX/11,3115MX,11,46.6,BYF,1.7,2.8,MX1
3123MX/11,3123MX,11,43.3,BYF,1.7,2.8,MX1
3146MX/11,3146MX,11,19.0,BYF,2.0,4.0,MX1
602644/11,602644,11,63.8,C0M,2.7,4.3,MX1
690023/11,690023,11,43.5,C0M,2.7,4.3,MX1
8812MX/11,8812MX,11,2.2,C0M,2.8,4.2,MX1
602646/11,602646,11,7.1,C0S,2.7,3.9,MX1
602647/11,602647,11,14.0,C0S,2.7,4.4,MX1
602648/11,602648,11,7.1,C0S,2.7,3.9,MX1
602649/11,602649,11,1.3,C0S,3.1,3.8,MX1
602650/11,602650,11,0.8,C0S,3.6,4.8,MX1
602651/11,602651,11,1.3,C0S,3.0,4.5,MX1
602653/11,602653,11,8.4,C0S,2.7,4.4,MX1
602777/11,602777,11,0.1,C0S,11.0,13.0,MX1
602778/11,602778,11,0.1,C0S,11.0,13.0,MX1
602792/11,602792,11,0.5,C0S,7.4,13.0,MX1
602794/11,602794,11,0.2,C0S,6.5,13.0,MX1
602795/11,602795,11,0.5,C0S,6.5,13.0,MX1
602796/11,602796,11,0.3,C0S,6.5,13.0,MX1
605837/11,605837,11,0.2,C0S,6.5,13.0,MX1
690021/11,690021,11,13.6,C0S,2.7,3.9,MX1
302A/11,302A,11,5.5,C0S,2.7,4.4,MX1
310A/11,310A,11,2.1,C0S,2.8,4.3,MX1
335A/11,335A,11,0.6,C0S,3.6,5.5,MX1
6124MX/11,6124MX,11,6.9,C0S,2.7,3.9,MX1
6909MX/11,6909MX,11,0.3,C0S,3.6,7.3,MX1
7068MX/11,7068MX,11,1.8,C0S,2.8,3.9,MX1
8655MX/11,8655MX,11,1.7,C0S,3.0,4.8,MX1
N173MX/11,N173MX,11,0.8,C0S,3.6,4.8,MX1
N263MX/11,N263MX,11,0.4,C0S,2.7,4.7,MX1
N448MX/11,N448MX,11,2.0,C0S,3.0,4.0,MX1
0766MX/11,0766MX,11,22.0,CXF,2.7,4.4,MX1
0767MX/11,0767MX,11,27.2,CXF,2.7,4.3,MX1
0768MX/11,0768MX,11,10.1,CXF,2.7,4.4,MX1
0772MX/11,0772MX,11,18.7,CXF,2.7,4.4,MX1
0899MX/11,0899MX,11,23.2,CXF,2.7,4.4,MX1
600017/11,600017,11,137.5,CYF,2.0,4.0,MX1
602190/11,602190,11,4.9,CYF,2.7,3.9,MX1
602760/11,602760,11,5.7,CYF,7.0,13.0,MX1
602762/11,602762,11,4.3,CYF,7.0,13.0,MX1
602764/11,602764,11,4.5,CYF,6.9,13.0,MX1
602768/11,602768,11,2.5,CYF,6.9,13.0,MX1
602772/11,602772,11,7.8,CYF,7.0,13.0,MX1
602774/11,602774,11,5.8,CYF,6.9,13.0,MX1
602775/11,602775,11,5.8,CYF,6.9,13.0,MX1
602797/11,602797,11,23.7,CYF,7.0,13.0,MX1
690095/11,690095,11,125.5,CYF,2.7,4.3,MX1
0032MX/11,0032MX,11,49.8,CYF,1.7,2.8,MX1
0064MX/11,0064MX,11,37.0,CYF,1.5,3.0,MX1
0079MX/11,0079MX,11,29.5,CYF,1.7,2.8,MX1
0765MX/11,0765MX,11,11.3,CYF,2.7,3.9,MX1
0770MX/11,0770MX,11,9.6,CYF,2.7,4.4,MX1
0771MX/11,0771MX,11,6.6,CYF,2.7,4.4,MX1
0773MX/11,0773MX,11,19.6,CYF,2.7,3.9,MX1
0774MX/11,0774MX,11,11.0,CYF,2.7,3.9,MX1
1473MX/11,1473MX,11,19.3,CYF,1.5,3.0,MX1
2364MX/11,2364MX,11,28.6,CYF,1.5,3.0,MX1
296A/11,296A,11,58.7,CYF,2.7,3.8,MX1
3150MX/11,3150MX,11,9.6,CYF,1.5,3.0,MX1
3176MX/11,3176MX,11,16.4,CYF,1.7,2.9,MX1
4011MX/11,4011MX,11,126.6,CYF,2.7,3.8,MX1
417UMX/11,417UMX,11,18.5,CYF,2.7,3.8,MX1
632AMX/11,632AMX,11,10.7,CYF,2.7,4.4,MX1
6495MX/11,6495MX,11,37.6,CYF,2.7,4.3,MX1
7056MX/11,7056MX,11,125.5,CYF,2.7,4.3,MX1
8654MX/11,8654MX,11,12.5,CYF,2.7,3.8,MX1
8796MX/11,8796MX,11,3.8,CYF,2.9,3.9,MX1
9947MX/11,9947MX,11,465.0,CYF,2.0,4.0,MX1
N487MX/11,N487MX,11,74.5,CYF,2.7,4.3,MX1
N972MX/11,N972MX,11,13.4,CYF,2.0,4.0,MX1
602779/11,602779,11,1.7,CZF,7.1,13.0,MX1
603480/11,603480,11,2.5,CZF,6.9,13.0,MX1
603481/11,603481,11,1.7,CZF,7.1,13.0,MX1
603828/11,603828,11,30.4,CZF,2.7,3.8,MX1
8602E/11,8602E,11,1019.2,CZF,2.7,3.8,MX1
I116MX/11,I116MX,11,2.2,CZF,2.7,4.1,MX1
N262MX/11,N262MX,11,6.3,CZF,2.7,4.0,MX1
602766/11,602766,11,3.2,CZM,7.0,13.0,MX1
602770/11,602770,11,1.1,CZM,7.4,13.0,MX1
602784/11,602784,11,1.3,CZM,6.9,13.0,MX1
602785/11,602785,11,1.1,CZM,7.4,13.0,MX1
602787/11,602787,11,1.1,CZM,7.4,13.0,MX1
