NA,1271758229,Requisition,19,Move Order Transfer,0565MX,,M1QE10,C-020-01,M1QE10,SURTIDO RESUPPLY,,,,,,,EA,79,79,,,79,,,,,,,,04-DEC-2019 22:41:22,General Transfer,2U,,,,,,,,Approved,04-DEC-2019 22:47:45,ANAPATRICIAH-V,,.
NA,1271758229,Requisition,20,Move Order Transfer,0364MX,,M1QE10,,M1QE10,SURTIDO RESUPPLY,,,,,,,EA,74,74,,,74,,,,,,,,04-DEC-2019 22:41:22,General Transfer,2U,,,,,,,,Approved,04-DEC-2019 22:47:45,ANAPATRICIAH-V,,.
NA,1271758229,Requisition,21,Move Order Transfer,2374MX,,M1QE10,,M1QE10,SURTIDO RESUPPLY,,,,,,,EA,67,67,,,67,,,,,,,,04-DEC-2019 22:41:22,General Transfer,2U,,,,,,,,Approved,04-DEC-2019 22:47:45,ANAPATRICIAH-V,,.
NA,1271758229,Requisition,22,Move Order Transfer,0039MX,,M1QE10,C-038-01,M1QE10,SURTIDO RESUPPLY,,,,,,,EA,19,19,,,19,,,,,,,,04-DEC-2019 22:41:22,General Transfer,2U,,,,,,,,Approved,04-DEC-2019 22:47:45,ANAPATRICIAH-V,,.
NA,1271758229,Requisition,23,Move Order Transfer,0077MX,,M1QE10,C-039-01,M1QE10,SURTIDO RESUPPLY,,,,,,,EA,49,49,,,49,,,,,,,,04-DEC-2019 22:41:22,General Transfer,2U,,,,,,,,Approved,04-DEC-2019 22:47:45,ANAPATRICIAH-V,,.
NA,1271758229,Requisition,24,Move Order Transfer,1473MX,,M1QE10,D-026-01,M1QE10,SURTIDO RESUPPLY,,,,,,,EA,9,9,,,9,,,,,,,,04-DEC-2019 22:41:22,General Transfer,2U,,,,,,,,Approved,04-DEC-2019 22:47:45,ANAPATRICIAH-V,,.
NA,1271758229,Requisition,25,Move Order Transfer,0831MX,,M1QE10,D-030-01,M1QE10,SURTIDO RESUPPLY,,,,,,,EA,58,58,,,58,,,,,,,,04-DEC-2019 22:41:22,General Transfer,2U,,,,,,,,Approved,04-DEC-2019 22:47:45,ANAPATRICIAH-V,,.
NA,1271758229,Requisition,26,Move Order Transfer,1061MX,,M1QE10,E-002-01,M1QE10,SURTIDO RESUPPLY,,,,,,,EA,53,53,,,53,,,,,,,,04-DEC-2019 22:41:22,General Transfer,2U,,,,,,,,Approved,04-DEC-2019 22:47:45,ANAPATRICIAH-V,,.
NA,1271758229,Requisition,27,Move Order Transfer,2364MX,,M1QE10,,M1QE10,SURTIDO RESUPPLY,,,,,,,EA,28,28,,,28,,,,,,,,04-DEC-2019 22:41:22,General Transfer,2U,,,,,,,,Approved,04-DEC-2019 22:47:45,ANAPATRICIAH-V,,.
NA,1271758230,Requisition,1,Move Order Transfer,1019MX,,M1QE10,A-001-01,M1QE10,SURTIDO RESUPPLY,,,,,,,EA,528,528,,,528,,,,,,,,04-DEC-2019 23:01:38,General Transfer,2U,,,,,,,,Approved,04-DEC-2019 23:08:22,ANAPATRICIAH-V,,.
