MX2,MX1,1155MX,18,THERMO-BOND,3710053553,5710032386,23,284737393,16-oct-19,17-oct-19,42,42,C29479A18,28-feb-21,Active,JB Hunt,,MX1
MX2,MX1,0065MX,11,HERBALIFELINE,3710053560,5710032388,23,284738178,16-oct-19,17-oct-19,16,16,2.29E+16,04-JAN-21,Active,JB Hunt,,MX1
MX2,MX1,3175MX,20,THERMOJETICS POLVO PARA PREPARAR BATIDO SABOR VAINILLA,3710053560,5710032388,5,284738178,16-oct-19,17-oct-19,24,24,D99501H20,30-mar-21,Active,JB Hunt,,MX1
MX2,MX1,1155MX,18,THERMO-BOND,3710053560,5710032388,15,284738178,16-oct-19,17-oct-19,8,8,C29479A18,28-feb-21,Active,JB Hunt,,MX1
MX2,MX1,0032MX,5,GARLIC PLUS,3710053560,5710032388,17,284738178,16-oct-19,17-oct-19,8,8,229443A05.,11-jul-20,Active,JB Hunt,,MX1
MX2,MX1,2641MX,7,XTRA SHAKE,3710053560,5710032388,19,284738178,16-oct-19,17-oct-19,24,24,999521B07,29-APR-21,Active,JB Hunt,,MX1
MX2,MX1,0413MX,5,HERBAL ALOE GEL CORPORAL CON ALOE,3710053560,5710032388,48,284738178,16-oct-19,17-oct-19,26,26,579514C05,30-APR-21,Active,JB Hunt,,MX1
MX2,MX1,417UMX,0,SOUP CONTAINER,3710053557,5710032390,68,284740892,16-oct-19,17-oct-19,20,,,,,JB Hunt,,MX1
MX2,MX1,N487MX,4,DOOR OP -  (100 CARD SET) COMBO2,3710053557,5710032390,79,284740892,16-oct-19,17-oct-19,100,,,,,JB Hunt,,MX1
MX2,MX3,0085MX,13,N-R-G TE,3710053565,5710032395,5,284756125,16-oct-19,19-oct-19,2880,2880,D99597J13,12-jul-21,,,,MX3
MX2,MX3,3525MX,4,THERMOJETICS BARRA CON PROTEINA SABOR A CHOCOLATE,3710053565,5710032395,26,284756125,16-oct-19,19-oct-19,48,48,LK29530A04,10-may-20,Active,,,MX3
MX2,MX1,2631MX,2,HERBAL ALOE CONCENTRADO SABOR MANDARINA,3710053493,5710032337,55,284136700,11-oct-19,12-oct-19,660,660,999512D02,22-APR-21,Active,JB Hunt,,MX1
MX2,MX1,1428MX,2,TE VERDE SABOR GRANADA 48 G,3710053493,5710032337,32,284136700,11-oct-19,12-oct-19,84,84,D99557E02,06-jun-21,Active,JB Hunt,,MX1
