632AMX/01,632AMX,1,3.8,CYF,3.7,6.4
6495MX/01,6495MX,1,11.5,CYF,3.7,6.2
7056MX/01,7056MX,1,55.1,CYF,3.6,5.7
8654MX/01,8654MX,1,9.6,CYF,3.7,6.2
8796MX/01,8796MX,1,4,CYF,3.7,6.2
9947MX/01,9947MX,1,121.7,CYF,2,4.5
N487MX/01,N487MX,1,63.3,CYF,3.6,6.2
N972MX/01,N972MX,1,124.5,CYF,2,4.5
602762/01,602762,1,2.4,CZF,7.1,13
417UMX/01,417UMX,1,21.4,CZF,3.6,6.2
8602E/01,8602E,1,1712.2,CZF,2,5
602190/01,602190,1,4.9,CZM,3.7,6.3
602653/01,602653,1,2.2,CZM,3.6,6.3
602779/01,602779,1,1,CZM,7,13
602795/01,602795,1,0.8,CZM,7.1,13
603480/01,603480,1,1.2,CZM,7.3,13
603481/01,603481,1,1,CZM,7,13
690021/01,690021,1,11.6,CZM,3.6,6.2
690022/01,690022,1,2.9,CZM,3.8,6.5
303A/01,303A,1,2.3,CZM,3.9,6.5
305A/01,305A,1,7.8,CZM,3.6,6.2
314A/01,314A,1,1.8,CZM,4,6.2
8732MX/01,8732MX,1,1.6,CZM,3.8,6.3
602768/01,602768,1,1.2,CZS,6.9,13
602770/01,602770,1,0.5,CZS,7.4,13
602784/01,602784,1,0.5,CZS,6.5,13
602785/01,602785,1,0.4,CZS,7.8,13
602787/01,602787,1,0.4,CZS,7.8,13
602792/01,602792,1,0.7,CZS,7.2,13
602796/01,602796,1,0.5,CZS,6.5,13
302A/01,302A,1,9.3,CZS,3.6,6.2
308A/01,308A,1,4.7,CZS,3.6,6.2
8697MX/01,8697MX,1,0.8,CZS,3.6,7.2
8375MX/01,8375MX,1,3,ND,0.5,1
8583MX/01,8583MX,1,3,ND,0.5,1
N263MX/01,N263MX,1,10,ND,0.5,1
0065MX/11,0065MX,11,86.1,AXF,1.7,3.2
0085MX/11,0085MX,11,496.5,AXF,1.7,3.2
0364MX/11,0364MX,11,43,AXF,1.7,3.2
0366MX/11,0366MX,11,58.4,AXF,1.7,3.2
044KMX/11,044KMX,11,133,AXF,2,4
0831MX/11,0831MX,11,82.9,AXF,1.7,2.8
0884MX/11,0884MX,11,133,AXF,1.7,2.8
0922MX/11,0922MX,11,125.5,AXF,1.7,2.8
0940MX/11,0940MX,11,143.1,AXF,1.7,3.2
0963MX/11,0963MX,11,353.3,AXF,1.7,2.8
0964MX/11,0964MX,11,203.2,AXF,1.7,2.8
1019MX/11,1019MX,11,436,AXF,1.7,3.2
1065MX/11,1065MX,11,334.6,AXF,1.7,2.8
1188MX/11,1188MX,11,37.5,AXF,1.7,3.2
1610MX/11,1610MX,11,234.7,AXF,1.7,2.8
1926MX/11,1926MX,11,256.3,AXF,1.7,2.8
2131MX/11,2131MX,11,202.8,AXF,1.7,2.8
2555MX/11,2555MX,11,118.1,AXF,1.7,3.2
2631MX/11,2631MX,11,334.9,AXF,1.7,3.2
2641MX/11,2641MX,11,51.5,AXF,1.7,3.2
2644MX/11,2644MX,11,32.1,AXF,1.7,3.2
2648MX/11,2648MX,11,132.5,AXF,1.7,2.8
2792MX/11,2792MX,11,21,AXF,1.7,3.2
2864MX/11,2864MX,11,163.2,AXF,1.7,3.2
299A/11,299A,11,22.4,AXF,2.7,4.3
3119MX/11,3119MX,11,244.2,AXF,1.7,2.8
3175MX/11,3175MX,11,93.3,AXF,1.7,2.8
3189MX/11,3189MX,11,9.6,AXF,1.7,3.2
3525MX/11,3525MX,11,188.1,AXF,1.7,3.2
4000MX/11,4000MX,11,569.5,AXF,1.7,2.8
4001MX/11,4001MX,11,90.6,AXF,1.7,2.8
4002MX/11,4002MX,11,147.6,AXF,1.7,3.2
4004MX/11,4004MX,11,114.4,AXF,1.7,2.8
4007MX/11,4007MX,11,115.3,AXF,1.7,3.2
4008MX/11,4008MX,11,80.4,AXF,1.7,3.2
8504MX/11,8504MX,11,135.4,AXF,2.7,4.3
0077MX/11,0077MX,11,24.9,BXF,1.7,3.2
0370MX/11,0370MX,11,79,BXF,1.7,2.8
0413MX/11,0413MX,11,123.4,BXF,2.7,3.8
1094MX/11,1094MX,11,52.3,BXF,1.7,2.8
1155MX/11,1155MX,11,64.2,BXF,1.7,2.8
1417MX/11,1417MX,11,25.2,BXF,1.7,3.2
1428MX/11,1428MX,11,57.4,BXF,1.7,2.8
1829MX/11,1829MX,11,47.1,BXF,1.7,2.8
1841MX/11,1841MX,11,53.3,BXF,1.7,3.2
3100MX/11,3100MX,11,69.6,BXF,1.7,3.2
3115MX/11,3115MX,11,36.1,BXF,1.7,2.9
3123MX/11,3123MX,11,37.7,BXF,1.7,2.8
0039MX/11,0039MX,11,14.4,BYF,1.7,2.8
0565MX/11,0565MX,11,66.5,BYF,1.7,3.2
1061MX/11,1061MX,11,36.5,BYF,1.7,3.2
1095MX/11,1095MX,11,47.3,BYF,1.7,2.8
1412MX/11,1412MX,11,24.5,BYF,1.7,3.2
2374MX/11,2374MX,11,27.7,BYF,1.7,3.2
3146MX/11,3146MX,11,19.2,BYF,1.5,3
602647/11,602647,11,15.1,C0M,2.7,4.4
602646/11,602646,11,7.1,C0S,2.7,3.9
602648/11,602648,11,7.1,C0S,2.7,3.9
602651/11,602651,11,0.9,C0S,3.3,4.4
602770/11,602770,11,0.8,C0S,7.1,13
602777/11,602777,11,0.1,C0S,11,13
602778/11,602778,11,0.1,C0S,11,13
602792/11,602792,11,1,C0S,7,13
602794/11,602794,11,1.5,C0S,6.8,13
302A/11,302A,11,13.6,C0S,2.7,4.3
303A/11,303A,11,2.8,C0S,2.9,4.7
335A/11,335A,11,0.4,C0S,2.7,4.7
6124MX/11,6124MX,11,7.1,C0S,2.8,3.9
6909MX/11,6909MX,11,0.4,C0S,2.7,4.7
N173MX/11,N173MX,11,1.3,C0S,3.2,3.9
N263MX/11,N263MX,11,0.3,C0S,3.6,7.3
600017/11,600017,11,137.7,CXF,2,4
690095/11,690095,11,132.7,CXF,2.7,4.3
0032MX/11,0032MX,11,42.1,CXF,1.7,2.9
0064MX/11,0064MX,11,32.3,CXF,2,4
0079MX/11,0079MX,11,25.3,CXF,1.7,2.8
0766MX/11,0766MX,11,26.5,CXF,2.7,4.3
0767MX/11,0767MX,11,26.4,CXF,2.7,4.4
0768MX/11,0768MX,11,11.5,CXF,2.7,4.4
0772MX/11,0772MX,11,19.2,CXF,2.7,4.4
0899MX/11,0899MX,11,21.8,CXF,2.7,4.4
298A/11,298A,11,281,CXF,2.7,3.8
4011MX/11,4011MX,11,133.3,CXF,2.7,3.8
7056MX/11,7056MX,11,132.7,CXF,2.7,4.3
9947MX/11,9947MX,11,231,CXF,2,4
602190/11,602190,11,5.7,CYF,2.8,3.9
602760/11,602760,11,6.6,CYF,7,13
602762/11,602762,11,4.1,CYF,7.1,13
602772/11,602772,11,8.5,CYF,7,13
602774/11,602774,11,6.1,CYF,7.1,13
602775/11,602775,11,6.1,CYF,7.1,13
602784/11,602784,11,2,CYF,7,13
602797/11,602797,11,24.9,CYF,7,13
0765MX/11,0765MX,11,13.2,CYF,2.7,3.9
0770MX/11,0770MX,11,9.8,CYF,2.8,4.4
0771MX/11,0771MX,11,8.1,CYF,2.7,4.4
0773MX/11,0773MX,11,21.8,CYF,2.7,3.9
0774MX/11,0774MX,11,10.7,CYF,2.7,3.8
1473MX/11,1473MX,11,21.9,CYF,1.7,3.2
2364MX/11,2364MX,11,30.1,CYF,1.7,3.2
296A/11,296A,11,82,CYF,2.7,3.8
3150MX/11,3150MX,11,9,CYF,1.5,3
3176MX/11,3176MX,11,20.1,CYF,1.5,3
632AMX/11,632AMX,11,14.2,CYF,2.7,4.4
6495MX/11,6495MX,11,35.6,CYF,2.7,4.4
8602E/11,8602E,11,1326.3,CYF,2,5
8796MX/11,8796MX,11,3.5,CYF,2.9,4
N487MX/11,N487MX,11,72.6,CYF,2.7,4.3
N972MX/11,N972MX,11,160.5,CYF,2,4
8697MX/11,8697MX,11,2.1,CYM,2.8,4.7
602644/11,602644,11,92.7,CZF,2.7,4.3
602768/11,602768,11,2.5,CZF,7.1,13
602785/11,602785,11,1.5,CZF,6.8,13
602787/11,602787,11,1.5,CZF,6.8,13
690023/11,690023,11,51,CZF,2.7,4.3
417UMX/11,417UMX,11,20.9,CZF,2.7,3.9
8654MX/11,8654MX,11,13.2,CZF,2.7,3.9
I116MX/11,I116MX,11,11.5,CZF,2,4
602649/11,602649,11,1.4,CZM,2.9,4.4
602650/11,602650,11,2.7,CZM,2.9,4.4
602653/11,602653,11,4.7,CZM,2.8,4.5
602764/11,602764,11,3.1,CZM,7.2,13
602766/11,602766,11,3.5,CZM,7.1,13
602779/11,602779,11,1.8,CZM,6.8,13
602795/11,602795,11,1.5,CZM,7.2,13
603480/11,603480,11,2.3,CZM,6.9,13
603481/11,603481,11,1.8,CZM,6.8,13
603828/11,603828,11,27.6,CZM,2.7,3.8
690021/11,690021,11,14.2,CZM,2.7,3.9
690022/11,690022,11,5.7,CZM,2.8,3.9
305A/11,305A,11,12.9,CZM,2.7,4.4
308A/11,308A,11,10.3,CZM,2.7,3.9
7068MX/11,7068MX,11,2.1,CZM,2.9,3.9
8732MX/11,8732MX,11,1.5,CZM,2.7,4.7
8812MX/11,8812MX,11,3.9,CZM,2.8,3.9
N262MX/11,N262MX,11,5.8,CZM,2.8,4
N448MX/11,N448MX,11,7.4,CZM,2.7,3.9
602796/11,602796,11,0.6,CZS,6.5,13
605837/11,605837,11,0.9,CZS,6.5,13
8655MX/11,8655MX,11,1,CZS,3,4.9
309A/11,309A,11,5,ND,0.5,1
310A/11,310A,11,5,ND,0.5,1
314A/11,314A,11,3,ND,0.5,1
8375MX/11,8375MX,11,3,ND,0.5,1
8583MX/11,8583MX,11,3,ND,0.5,1
0065MX/19,0065MX,19,83.4,AXF,1.9,3.7
0085MX/19,0085MX,19,200.2,AXF,1.9,3.7
0364MX/19,0364MX,19,76.9,AXF,1.9,3.7
0366MX/19,0366MX,19,113.2,AXF,1.9,3.7
044KMX/19,044KMX,19,198,AXF,1.5,3.5
0831MX/19,0831MX,19,94.4,AXF,1.9,3.7
0884MX/19,0884MX,19,127.2,AXF,1.9,3.7
0922MX/19,0922MX,19,200.5,AXF,1.9,3.7
0940MX/19,0940MX,19,124.7,AXF,1.9,3.7
0963MX/19,0963MX,19,293.6,AXF,1.9,3.7
0964MX/19,0964MX,19,168,AXF,1.9,3.7
1019MX/19,1019MX,19,296.5,AXF,1.9,3.7
1065MX/19,1065MX,19,333.5,AXF,1.9,3.7
1095MX/19,1095MX,19,83.8,AXF,1.9,3.7
1188MX/19,1188MX,19,53.5,AXF,1.9,3.7
1610MX/19,1610MX,19,211.9,AXF,1.9,3.7
1926MX/19,1926MX,19,163.2,AXF,1.9,3.7
2131MX/19,2131MX,19,114,AXF,1.9,3.7
2555MX/19,2555MX,19,114.9,AXF,1.9,3.7
2631MX/19,2631MX,19,217.6,AXF,1.9,3.7
2641MX/19,2641MX,19,33,AXF,1.9,3.7
2644MX/19,2644MX,19,39.6,AXF,1.9,3.7
2648MX/19,2648MX,19,98.6,AXF,1.9,3.7
2792MX/19,2792MX,19,23.5,AXF,1.9,3.7
2864MX/19,2864MX,19,208.4,AXF,1.9,3.7
299A/19,299A,19,18.7,AXF,2.6,4.4
3119MX/19,3119MX,19,287.4,AXF,1.9,3.7
3175MX/19,3175MX,19,150.9,AXF,1.9,3.7
3189MX/19,3189MX,19,29.7,AXF,1.9,3.7
3525MX/19,3525MX,19,213,AXF,1.9,3.7
4000MX/19,4000MX,19,376.7,AXF,1.9,3.7
4001MX/19,4001MX,19,78.5,AXF,1.9,3.7
4002MX/19,4002MX,19,159.1,AXF,1.9,3.7
4004MX/19,4004MX,19,85.8,AXF,1.9,3.7
4007MX/19,4007MX,19,70.5,AXF,1.9,3.7
4008MX/19,4008MX,19,51.2,AXF,1.9,3.7
8504MX/19,8504MX,19,51.4,AXF,2.5,4.4
0077MX/19,0077MX,19,39.5,BXF,1.9,3.7
0079MX/19,0079MX,19,32,BXF,1.9,3.7
1094MX/19,1094MX,19,52.3,BXF,1.9,3.7
1412MX/19,1412MX,19,16.5,BXF,1.9,3.7
1428MX/19,1428MX,19,48,BXF,1.9,3.7
1829MX/19,1829MX,19,56,BXF,1.9,3.7
2364MX/19,2364MX,19,33.6,BXF,1.9,3.7
3115MX/19,3115MX,19,33.2,BXF,1.9,3.7
3123MX/19,3123MX,19,39.7,BXF,1.9,3.7
3176MX/19,3176MX,19,34.1,BXF,1.5,3
0370MX/19,0370MX,19,72.5,BYF,1.9,3.7
1061MX/19,1061MX,19,35.2,BYF,1.9,3.7
1473MX/19,1473MX,19,28.9,BYF,1.9,4
602653/19,602653,19,0.8,C0S,3.6,4.8
602764/19,602764,19,0.4,C0S,5.2,10.4
602766/19,602766,19,0.3,C0S,6.5,9.8
602768/19,602768,19,0.2,C0S,6.5,13
602770/19,602770,19,0.2,C0S,6.5,13
602779/19,602779,19,0.2,C0S,6.5,13
602792/19,602792,19,0.7,C0S,5.8,10.1
602794/19,602794,19,0.5,C0S,5.6,9.3
602796/19,602796,19,0.4,C0S,5.2,10.4
603480/19,603480,19,0.3,C0S,6.5,9.8
603481/19,603481,19,0.2,C0S,6.5,13
605837/19,605837,19,0.3,C0S,6.5,9.8
305A/19,305A,19,6.8,C0S,2.6,4.6
308A/19,308A,19,2.7,C0S,2.6,4.8
310A/19,310A,19,1.4,C0S,2.9,5.1
314A/19,314A,19,1,C0S,3,5
335A/19,335A,19,2.2,C0S,2.7,4.5
6909MX/19,6909MX,19,0.9,C0S,3.3,5.4
7068MX/19,7068MX,19,0.4,C0S,2.7,4.7
I116MX/19,I116MX,19,2,C0S,1.5,3
N448MX/19,N448MX,19,0.4,C0S,2.7,4.7
0032MX/19,0032MX,19,35,CXF,1.9,3.7
0064MX/19,0064MX,19,20.3,CXF,2,4
0413MX/19,0413MX,19,22.1,CXF,2.5,4.4
0565MX/19,0565MX,19,33.7,CXF,1.9,3.7
1155MX/19,1155MX,19,35.7,CXF,1.9,3.7
1841MX/19,1841MX,19,29,CXF,1.9,3.7
298A/19,298A,19,169.8,CXF,2.5,4.4
9947MX/19,9947MX,19,127.7,CXF,1.2,2.8
602190/19,602190,19,4.5,CYF,2.7,4.5
602797/19,602797,19,4.3,CYF,4.4,9.3
605703/19,605703,19,1279,CYF,2.5,4.4
690095/19,690095,19,48.1,CYF,2.5,4.4
690113/19,690113,19,32.7,CYF,1.3,2.8
0039MX/19,0039MX,19,11.7,CYF,2,3.8
0765MX/19,0765MX,19,9,CYF,2.6,4.4
0766MX/19,0766MX,19,7.9,CYF,2.5,4.4
0767MX/19,0767MX,19,14.1,CYF,2.6,4.5
0768MX/19,0768MX,19,7.6,CYF,2.6,4.5
0770MX/19,0770MX,19,6.2,CYF,2.6,4.5
0771MX/19,0771MX,19,4.1,CYF,2.7,4.6
0772MX/19,0772MX,19,7.3,CYF,2.6,4.5
0773MX/19,0773MX,19,7.1,CYF,2.5,4.5
0774MX/19,0774MX,19,7.2,CYF,2.6,4.4
0899MX/19,0899MX,19,13.4,CYF,2.5,4.5
1417MX/19,1417MX,19,11.5,CYF,1.9,3.7
2374MX/19,2374MX,19,16,CYF,1.9,3.7
296A/19,296A,19,62.1,CYF,2.5,4.4
3100MX/19,3100MX,19,56.7,CYF,1.9,3.7
3146MX/19,3146MX,19,12.3,CYF,1.5,3
4011MX/19,4011MX,19,48.1,CYF,2.5,4.4
632AMX/19,632AMX,19,7.2,CYF,2.7,4.5
6495MX/19,6495MX,19,20.6,CYF,2.5,4.4
7056MX/19,7056MX,19,48.1,CYF,2.5,4.4
N487MX/19,N487MX,19,34.2,CYF,2.5,4.4
N972MX/19,N972MX,19,194.5,CYF,1.2,2.8
603828/19,603828,19,18.3,CZF,2.5,4.4
8654MX/19,8654MX,19,7.1,CZF,2.5,4.5
602760/19,602760,19,1,CZM,5,9
602772/19,602772,19,2,CZM,4.5,9.5
602774/19,602774,19,1.5,CZM,4.8,8.2
602775/19,602775,19,1.5,CZM,4.8,8.2
690021/19,690021,19,9.7,CZM,2.6,4.4
690022/19,690022,19,2.9,CZM,2.7,4.4
690023/19,690023,19,6.8,CZM,2.6,4.5
303A/19,303A,19,1.1,CZM,2.8,4.6
3150MX/19,3150MX,19,4.3,CZM,1.5,3
417UMX/19,417UMX,19,11,CZM,2.5,4.5
8732MX/19,8732MX,19,2.2,CZM,2.7,4.4
8796MX/19,8796MX,19,2.2,CZM,2.8,4.6
N173MX/19,N173MX,19,6.6,CZM,2.6,4.5
N262MX/19,N262MX,19,7.1,CZM,2.5,4.5
602762/19,602762,19,0.8,CZS,4.7,8.3
602795/19,602795,19,0.7,CZS,5.8,10.1
302A/19,302A,19,7.5,CZS,2.5,4.4
6124MX/19,6124MX,19,1.1,CZS,2.7,4.6
8697MX/19,8697MX,19,1.4,CZS,2.9,5.1
8812MX/19,8812MX,19,1.4,CZS,2.8,4.9
602777/19,602777,19,1,ND,0.5,1
602778/19,602778,19,1,ND,0.5,1
602784/19,602784,19,12,ND,0.5,1
602785/19,602785,19,12,ND,0.5,1
602787/19,602787,19,12,ND,0.5,1
309A/19,309A,19,5,ND,0.5,1
8375MX/19,8375MX,19,3,ND,0.5,1
8583MX/19,8583MX,19,3,ND,0.5,1
8655MX/19,8655MX,19,3,ND,0.5,1
N263MX/19,N263MX,19,10,ND,0.5,1
0065MX/1S,0065MX,1S,114.6,AXF,1.8,3
0085MX/1S,0085MX,1S,666.7,AXF,1.8,3
0364MX/1S,0364MX,1S,48.2,AXF,1.8,3
0366MX/1S,0366MX,1S,114.9,AXF,1.8,3
044KMX/1S,044KMX,1S,227.4,AXF,2,4
0831MX/1S,0831MX,1S,92.2,AXF,1.8,3
0884MX/1S,0884MX,1S,190.3,AXF,1.8,3
0922MX/1S,0922MX,1S,218.3,AXF,1.8,3
0940MX/1S,0940MX,1S,185.6,AXF,1.8,3
0963MX/1S,0963MX,1S,251.7,AXF,1.8,3
0964MX/1S,0964MX,1S,151.8,AXF,1.8,3
1019MX/1S,1019MX,1S,590.6,AXF,1.8,3
1065MX/1S,1065MX,1S,385.1,AXF,1.8,3
1188MX/1S,1188MX,1S,35.6,AXF,1.8,3
1610MX/1S,1610MX,1S,338,AXF,1.8,3
1926MX/1S,1926MX,1S,358.6,AXF,1.8,3
2131MX/1S,2131MX,1S,256.1,AXF,1.8,3
2555MX/1S,2555MX,1S,103.9,AXF,1.8,3
2631MX/1S,2631MX,1S,450.8,AXF,1.8,3
2641MX/1S,2641MX,1S,91.8,AXF,1.8,3
2644MX/1S,2644MX,1S,68.4,AXF,1.8,3
2648MX/1S,2648MX,1S,252.3,AXF,1.8,3
2792MX/1S,2792MX,1S,20.4,AXF,1.8,3
2864MX/1S,2864MX,1S,257.4,AXF,1.8,3
299A/1S,299A,1S,10.1,AXF,2.8,4.1
3119MX/1S,3119MX,1S,249.6,AXF,1.8,3
3175MX/1S,3175MX,1S,77.8,AXF,1.8,3
3189MX/1S,3189MX,1S,27.3,AXF,1.8,3
3525MX/1S,3525MX,1S,246.3,AXF,1.8,3
4000MX/1S,4000MX,1S,542,AXF,1.8,3
4001MX/1S,4001MX,1S,103.4,AXF,1.8,3
4002MX/1S,4002MX,1S,228.3,AXF,1.8,3
4004MX/1S,4004MX,1S,123.6,AXF,1.8,3
4007MX/1S,4007MX,1S,112.8,AXF,1.8,3
4008MX/1S,4008MX,1S,84.2,AXF,1.8,3
8504MX/1S,8504MX,1S,62.5,AXF,2.8,4
0032MX/1S,0032MX,1S,78.4,BXF,1.8,3
0370MX/1S,0370MX,1S,105.9,BXF,1.8,3
1155MX/1S,1155MX,1S,52.6,BXF,1.8,3
1841MX/1S,1841MX,1S,93.7,BXF,1.8,3
3100MX/1S,3100MX,1S,87.9,BXF,1.8,3
3115MX/1S,3115MX,1S,43,BXF,1.8,3
3146MX/1S,3146MX,1S,22.9,BXF,1.5,3
0039MX/1S,0039MX,1S,20,BYF,1.8,3
0079MX/1S,0079MX,1S,42,BYF,1.8,3
0565MX/1S,0565MX,1S,94,BYF,1.8,3
1061MX/1S,1061MX,1S,54.4,BYF,1.8,3
1412MX/1S,1412MX,1S,32.1,BYF,1.8,3
1428MX/1S,1428MX,1S,96.9,BYF,1.8,3
1829MX/1S,1829MX,1S,70.8,BYF,1.8,3
2364MX/1S,2364MX,1S,43.6,BYF,1.8,3
2374MX/1S,2374MX,1S,49,BYF,1.8,3
3123MX/1S,3123MX,1S,55.8,BYF,1.8,3
603828/1S,603828,1S,22.7,C0M,2.8,4
